2020/02/02 13:16:45.400994 lucky, code=1416, gift=0, name=Mate30Pro 5G, link=, data=, left=19999 
2020/02/02 13:16:45.449863 lucky, code=5094, gift=0, name=Mate30Pro 5G, link=, data=, left=19998 
2020/02/02 13:16:45.449863 lucky, code=5094, gift=0, name=Mate30Pro 5G, link=, data=, left=19997 
2020/02/02 13:16:45.449863 lucky, code=5094, gift=0, name=Mate30Pro 5G, link=, data=, left=19996 
2020/02/02 13:16:45.449863 lucky, code=5094, gift=0, name=Mate30Pro 5G, link=, data=, left=19995 
2020/02/02 13:16:45.450859 lucky, code=7108, gift=0, name=Mate30Pro 5G, link=, data=, left=19994 
2020/02/02 13:16:45.450859 lucky, code=7108, gift=0, name=Mate30Pro 5G, link=, data=, left=19993 
2020/02/02 13:16:45.450859 lucky, code=7108, gift=0, name=Mate30Pro 5G, link=, data=, left=19992 
2020/02/02 13:16:45.450859 lucky, code=7108, gift=0, name=Mate30Pro 5G, link=, data=, left=19991 
2020/02/02 13:16:45.451856 lucky, code=5319, gift=0, name=Mate30Pro 5G, link=, data=, left=19990 
2020/02/02 13:16:45.451856 lucky, code=5319, gift=0, name=Mate30Pro 5G, link=, data=, left=19989 
2020/02/02 13:16:45.451856 lucky, code=5319, gift=0, name=Mate30Pro 5G, link=, data=, left=19988 
2020/02/02 13:16:45.451856 lucky, code=5319, gift=0, name=Mate30Pro 5G, link=, data=, left=19987 
2020/02/02 13:16:45.451856 lucky, code=5319, gift=0, name=Mate30Pro 5G, link=, data=, left=19986 
2020/02/02 13:16:45.451856 lucky, code=5319, gift=0, name=Mate30Pro 5G, link=, data=, left=19985 
2020/02/02 13:16:45.452853 lucky, code=9383, gift=0, name=Mate30Pro 5G, link=, data=, left=19984 
2020/02/02 13:16:45.452853 lucky, code=9383, gift=0, name=Mate30Pro 5G, link=, data=, left=19983 
2020/02/02 13:16:45.452853 lucky, code=9383, gift=0, name=Mate30Pro 5G, link=, data=, left=19982 
2020/02/02 13:16:45.452853 lucky, code=9383, gift=0, name=Mate30Pro 5G, link=, data=, left=19981 
2020/02/02 13:16:45.452853 lucky, code=9383, gift=0, name=Mate30Pro 5G, link=, data=, left=19980 
2020/02/02 13:16:45.453852 lucky, code=5466, gift=0, name=Mate30Pro 5G, link=, data=, left=19979 
2020/02/02 13:16:45.453852 lucky, code=5466, gift=0, name=Mate30Pro 5G, link=, data=, left=19978 
2020/02/02 13:16:45.453852 lucky, code=5466, gift=0, name=Mate30Pro 5G, link=, data=, left=19977 
2020/02/02 13:16:45.453852 lucky, code=5466, gift=0, name=Mate30Pro 5G, link=, data=, left=19976 
2020/02/02 13:16:45.453852 lucky, code=5466, gift=0, name=Mate30Pro 5G, link=, data=, left=19975 
2020/02/02 13:16:45.454850 lucky, code=133, gift=0, name=Mate30Pro 5G, link=, data=, left=19974 
2020/02/02 13:16:45.454850 lucky, code=133, gift=0, name=Mate30Pro 5G, link=, data=, left=19973 
2020/02/02 13:16:45.454850 lucky, code=133, gift=0, name=Mate30Pro 5G, link=, data=, left=19972 
2020/02/02 13:16:45.454850 lucky, code=133, gift=0, name=Mate30Pro 5G, link=, data=, left=19971 
2020/02/02 13:16:45.454850 lucky, code=133, gift=0, name=Mate30Pro 5G, link=, data=, left=19970 
2020/02/02 13:16:45.454850 lucky, code=133, gift=0, name=Mate30Pro 5G, link=, data=, left=19969 
2020/02/02 13:16:45.455846 lucky, code=2592, gift=0, name=Mate30Pro 5G, link=, data=, left=19968 
2020/02/02 13:16:45.455846 lucky, code=2592, gift=0, name=Mate30Pro 5G, link=, data=, left=19967 
2020/02/02 13:16:45.455846 lucky, code=2592, gift=0, name=Mate30Pro 5G, link=, data=, left=19966 
2020/02/02 13:16:45.455846 lucky, code=2592, gift=0, name=Mate30Pro 5G, link=, data=, left=19965 
2020/02/02 13:16:45.455846 lucky, code=2592, gift=0, name=Mate30Pro 5G, link=, data=, left=19964 
2020/02/02 13:16:45.455846 lucky, code=2592, gift=0, name=Mate30Pro 5G, link=, data=, left=19963 
2020/02/02 13:16:45.456842 lucky, code=9067, gift=0, name=Mate30Pro 5G, link=, data=, left=19962 
2020/02/02 13:16:45.456842 lucky, code=9067, gift=0, name=Mate30Pro 5G, link=, data=, left=19961 
2020/02/02 13:16:45.456842 lucky, code=9067, gift=0, name=Mate30Pro 5G, link=, data=, left=19960 
2020/02/02 13:16:45.456842 lucky, code=9067, gift=0, name=Mate30Pro 5G, link=, data=, left=19959 
2020/02/02 13:16:45.456842 lucky, code=9067, gift=0, name=Mate30Pro 5G, link=, data=, left=19958 
2020/02/02 13:16:45.456842 lucky, code=9067, gift=0, name=Mate30Pro 5G, link=, data=, left=19957 
2020/02/02 13:16:45.457840 lucky, code=2260, gift=0, name=Mate30Pro 5G, link=, data=, left=19956 
2020/02/02 13:16:45.457840 lucky, code=2260, gift=0, name=Mate30Pro 5G, link=, data=, left=19955 
2020/02/02 13:16:45.457840 lucky, code=2260, gift=0, name=Mate30Pro 5G, link=, data=, left=19954 
2020/02/02 13:16:45.457840 lucky, code=2260, gift=0, name=Mate30Pro 5G, link=, data=, left=19953 
2020/02/02 13:16:45.457840 lucky, code=2260, gift=0, name=Mate30Pro 5G, link=, data=, left=19952 
2020/02/02 13:16:45.457840 lucky, code=2260, gift=0, name=Mate30Pro 5G, link=, data=, left=19951 
2020/02/02 13:16:45.458838 lucky, code=2634, gift=0, name=Mate30Pro 5G, link=, data=, left=19950 
2020/02/02 13:16:45.458838 lucky, code=2634, gift=0, name=Mate30Pro 5G, link=, data=, left=19949 
2020/02/02 13:16:45.458838 lucky, code=2634, gift=0, name=Mate30Pro 5G, link=, data=, left=19948 
2020/02/02 13:16:45.458838 lucky, code=2634, gift=0, name=Mate30Pro 5G, link=, data=, left=19947 
2020/02/02 13:16:45.458838 lucky, code=2634, gift=0, name=Mate30Pro 5G, link=, data=, left=19946 
2020/02/02 13:16:45.458838 lucky, code=2634, gift=0, name=Mate30Pro 5G, link=, data=, left=19945 
2020/02/02 13:16:45.459835 lucky, code=1972, gift=0, name=Mate30Pro 5G, link=, data=, left=19944 
2020/02/02 13:16:45.459835 lucky, code=1972, gift=0, name=Mate30Pro 5G, link=, data=, left=19943 
2020/02/02 13:16:45.459835 lucky, code=1972, gift=0, name=Mate30Pro 5G, link=, data=, left=19942 
2020/02/02 13:16:45.459835 lucky, code=1972, gift=0, name=Mate30Pro 5G, link=, data=, left=19941 
2020/02/02 13:16:45.459835 lucky, code=1972, gift=0, name=Mate30Pro 5G, link=, data=, left=19940 
2020/02/02 13:16:45.459835 lucky, code=1972, gift=0, name=Mate30Pro 5G, link=, data=, left=19939 
2020/02/02 13:16:45.460832 lucky, code=2882, gift=0, name=Mate30Pro 5G, link=, data=, left=19938 
2020/02/02 13:16:45.460832 lucky, code=2882, gift=0, name=Mate30Pro 5G, link=, data=, left=19937 
2020/02/02 13:16:45.460832 lucky, code=2882, gift=0, name=Mate30Pro 5G, link=, data=, left=19936 
2020/02/02 13:16:45.461830 lucky, code=7297, gift=0, name=Mate30Pro 5G, link=, data=, left=19935 
2020/02/02 13:16:45.461830 lucky, code=7297, gift=0, name=Mate30Pro 5G, link=, data=, left=19934 
2020/02/02 13:16:45.461830 lucky, code=7297, gift=0, name=Mate30Pro 5G, link=, data=, left=19933 
2020/02/02 13:16:45.461830 lucky, code=7297, gift=0, name=Mate30Pro 5G, link=, data=, left=19932 
2020/02/02 13:16:45.462826 lucky, code=9804, gift=0, name=Mate30Pro 5G, link=, data=, left=19931 
2020/02/02 13:16:45.462826 lucky, code=9804, gift=0, name=Mate30Pro 5G, link=, data=, left=19930 
2020/02/02 13:16:45.462826 lucky, code=9804, gift=0, name=Mate30Pro 5G, link=, data=, left=19929 
2020/02/02 13:16:45.462826 lucky, code=9804, gift=0, name=Mate30Pro 5G, link=, data=, left=19928 
2020/02/02 13:16:45.462826 lucky, code=9804, gift=0, name=Mate30Pro 5G, link=, data=, left=19927 
2020/02/02 13:16:45.462826 lucky, code=9804, gift=0, name=Mate30Pro 5G, link=, data=, left=19926 
2020/02/02 13:16:45.463824 lucky, code=3547, gift=0, name=Mate30Pro 5G, link=, data=, left=19925 
2020/02/02 13:16:45.463824 lucky, code=3547, gift=0, name=Mate30Pro 5G, link=, data=, left=19924 
2020/02/02 13:16:45.463824 lucky, code=3547, gift=0, name=Mate30Pro 5G, link=, data=, left=19923 
2020/02/02 13:16:45.463824 lucky, code=3547, gift=0, name=Mate30Pro 5G, link=, data=, left=19922 
2020/02/02 13:16:45.463824 lucky, code=3547, gift=0, name=Mate30Pro 5G, link=, data=, left=19921 
2020/02/02 13:16:45.463824 lucky, code=3547, gift=0, name=Mate30Pro 5G, link=, data=, left=19920 
2020/02/02 13:16:45.463824 lucky, code=3547, gift=0, name=Mate30Pro 5G, link=, data=, left=19919 
2020/02/02 13:16:45.464823 lucky, code=8308, gift=0, name=Mate30Pro 5G, link=, data=, left=19918 
2020/02/02 13:16:45.464823 lucky, code=8308, gift=0, name=Mate30Pro 5G, link=, data=, left=19917 
2020/02/02 13:16:45.464823 lucky, code=8308, gift=0, name=Mate30Pro 5G, link=, data=, left=19916 
2020/02/02 13:16:45.464823 lucky, code=8308, gift=0, name=Mate30Pro 5G, link=, data=, left=19915 
2020/02/02 13:16:45.464823 lucky, code=8308, gift=0, name=Mate30Pro 5G, link=, data=, left=19914 
2020/02/02 13:16:45.464823 lucky, code=8308, gift=0, name=Mate30Pro 5G, link=, data=, left=19913 
2020/02/02 13:16:45.465820 lucky, code=5862, gift=0, name=Mate30Pro 5G, link=, data=, left=19912 
2020/02/02 13:16:45.465820 lucky, code=5862, gift=0, name=Mate30Pro 5G, link=, data=, left=19911 
2020/02/02 13:16:45.465820 lucky, code=5862, gift=0, name=Mate30Pro 5G, link=, data=, left=19910 
2020/02/02 13:16:45.465820 lucky, code=5862, gift=0, name=Mate30Pro 5G, link=, data=, left=19909 
2020/02/02 13:16:45.465820 lucky, code=5862, gift=0, name=Mate30Pro 5G, link=, data=, left=19908 
2020/02/02 13:16:45.466818 lucky, code=122, gift=0, name=Mate30Pro 5G, link=, data=, left=19907 
2020/02/02 13:16:45.466818 lucky, code=122, gift=0, name=Mate30Pro 5G, link=, data=, left=19906 
2020/02/02 13:16:45.466818 lucky, code=122, gift=0, name=Mate30Pro 5G, link=, data=, left=19905 
2020/02/02 13:16:45.466818 lucky, code=122, gift=0, name=Mate30Pro 5G, link=, data=, left=19904 
2020/02/02 13:16:45.466818 lucky, code=122, gift=0, name=Mate30Pro 5G, link=, data=, left=19903 
2020/02/02 13:16:45.467813 lucky, code=3220, gift=0, name=Mate30Pro 5G, link=, data=, left=19902 
2020/02/02 13:16:45.467813 lucky, code=3220, gift=0, name=Mate30Pro 5G, link=, data=, left=19901 
2020/02/02 13:16:45.467813 lucky, code=3220, gift=0, name=Mate30Pro 5G, link=, data=, left=19900 
2020/02/02 13:16:45.467813 lucky, code=3220, gift=0, name=Mate30Pro 5G, link=, data=, left=19899 
2020/02/02 13:16:45.467813 lucky, code=3220, gift=0, name=Mate30Pro 5G, link=, data=, left=19898 
2020/02/02 13:16:45.467813 lucky, code=3220, gift=0, name=Mate30Pro 5G, link=, data=, left=19897 
2020/02/02 13:16:45.467813 lucky, code=3220, gift=0, name=Mate30Pro 5G, link=, data=, left=19896 
2020/02/02 13:16:45.467813 lucky, code=3220, gift=0, name=Mate30Pro 5G, link=, data=, left=19895 
2020/02/02 13:16:45.468812 lucky, code=9788, gift=0, name=Mate30Pro 5G, link=, data=, left=19894 
2020/02/02 13:16:45.468812 lucky, code=9788, gift=0, name=Mate30Pro 5G, link=, data=, left=19893 
2020/02/02 13:16:45.468812 lucky, code=9788, gift=0, name=Mate30Pro 5G, link=, data=, left=19892 
2020/02/02 13:16:45.468812 lucky, code=9788, gift=0, name=Mate30Pro 5G, link=, data=, left=19891 
2020/02/02 13:16:45.468812 lucky, code=9788, gift=0, name=Mate30Pro 5G, link=, data=, left=19890 
2020/02/02 13:16:45.469808 lucky, code=4957, gift=0, name=Mate30Pro 5G, link=, data=, left=19889 
2020/02/02 13:16:45.469808 lucky, code=4957, gift=0, name=Mate30Pro 5G, link=, data=, left=19888 
2020/02/02 13:16:45.470805 lucky, code=6989, gift=0, name=Mate30Pro 5G, link=, data=, left=19887 
2020/02/02 13:16:45.470805 lucky, code=6989, gift=0, name=Mate30Pro 5G, link=, data=, left=19886 
2020/02/02 13:16:45.470805 lucky, code=6989, gift=0, name=Mate30Pro 5G, link=, data=, left=19885 
2020/02/02 13:16:45.470805 lucky, code=6989, gift=0, name=Mate30Pro 5G, link=, data=, left=19884 
2020/02/02 13:16:45.470805 lucky, code=6989, gift=0, name=Mate30Pro 5G, link=, data=, left=19883 
2020/02/02 13:16:45.470805 lucky, code=6989, gift=0, name=Mate30Pro 5G, link=, data=, left=19882 
2020/02/02 13:16:45.470805 lucky, code=6989, gift=0, name=Mate30Pro 5G, link=, data=, left=19881 
2020/02/02 13:16:45.471803 lucky, code=166, gift=0, name=Mate30Pro 5G, link=, data=, left=19880 
2020/02/02 13:16:45.471803 lucky, code=166, gift=0, name=Mate30Pro 5G, link=, data=, left=19879 
2020/02/02 13:16:45.471803 lucky, code=166, gift=0, name=Mate30Pro 5G, link=, data=, left=19878 
2020/02/02 13:16:45.471803 lucky, code=166, gift=0, name=Mate30Pro 5G, link=, data=, left=19877 
2020/02/02 13:16:45.471803 lucky, code=166, gift=0, name=Mate30Pro 5G, link=, data=, left=19876 
2020/02/02 13:16:45.471803 lucky, code=166, gift=0, name=Mate30Pro 5G, link=, data=, left=19875 
2020/02/02 13:16:45.471803 lucky, code=166, gift=0, name=Mate30Pro 5G, link=, data=, left=19874 
2020/02/02 13:16:45.472802 lucky, code=166, gift=0, name=Mate30Pro 5G, link=, data=, left=19873 
2020/02/02 13:16:45.472802 lucky, code=8573, gift=0, name=Mate30Pro 5G, link=, data=, left=19872 
2020/02/02 13:16:45.472802 lucky, code=8573, gift=0, name=Mate30Pro 5G, link=, data=, left=19871 
2020/02/02 13:16:45.472802 lucky, code=8573, gift=0, name=Mate30Pro 5G, link=, data=, left=19870 
2020/02/02 13:16:45.472802 lucky, code=8573, gift=0, name=Mate30Pro 5G, link=, data=, left=19869 
2020/02/02 13:16:45.472802 lucky, code=8573, gift=0, name=Mate30Pro 5G, link=, data=, left=19868 
2020/02/02 13:16:45.473801 lucky, code=7001, gift=0, name=Mate30Pro 5G, link=, data=, left=19867 
2020/02/02 13:16:45.473801 lucky, code=7001, gift=0, name=Mate30Pro 5G, link=, data=, left=19866 
2020/02/02 13:16:45.473801 lucky, code=7001, gift=0, name=Mate30Pro 5G, link=, data=, left=19865 
2020/02/02 13:16:45.473801 lucky, code=7001, gift=0, name=Mate30Pro 5G, link=, data=, left=19864 
2020/02/02 13:16:45.473801 lucky, code=7001, gift=0, name=Mate30Pro 5G, link=, data=, left=19863 
2020/02/02 13:16:45.474795 lucky, code=1427, gift=0, name=Mate30Pro 5G, link=, data=, left=19862 
2020/02/02 13:16:45.474795 lucky, code=1427, gift=0, name=Mate30Pro 5G, link=, data=, left=19861 
2020/02/02 13:16:45.474795 lucky, code=1427, gift=0, name=Mate30Pro 5G, link=, data=, left=19860 
2020/02/02 13:16:45.474795 lucky, code=1427, gift=0, name=Mate30Pro 5G, link=, data=, left=19859 
2020/02/02 13:16:45.475792 lucky, code=975, gift=0, name=Mate30Pro 5G, link=, data=, left=19858 
2020/02/02 13:16:45.475792 lucky, code=975, gift=0, name=Mate30Pro 5G, link=, data=, left=19857 
2020/02/02 13:16:45.475792 lucky, code=975, gift=0, name=Mate30Pro 5G, link=, data=, left=19856 
2020/02/02 13:16:45.475792 lucky, code=975, gift=0, name=Mate30Pro 5G, link=, data=, left=19855 
2020/02/02 13:16:45.475792 lucky, code=975, gift=0, name=Mate30Pro 5G, link=, data=, left=19854 
2020/02/02 13:16:45.476789 lucky, code=3358, gift=0, name=Mate30Pro 5G, link=, data=, left=19853 
2020/02/02 13:16:45.476789 lucky, code=3358, gift=0, name=Mate30Pro 5G, link=, data=, left=19852 
